,Product,Top_10_Similar_Products
0,Ундаа Coca-Cola Түмний Оргилуун 2л энгийн пет савлагаа MNG,"['Ундаа Coca Cola Түмний Оргилуун Fanta 2л Хан боргоцой жимсний пет MNG', 'Цай Peace Tea 1,25л ойн жимсний амттай пет савалгаатай', 'Бялуу Carrot cake – луувантай чийз кремтэй бялуу 24 cm /9 inch/ 1300гр', 'Ундаа Coca cola Fanta Оргилуун 2л Усан үзэм жимсний амт пет савлагаа MNG', 'Ундаа Coca Cola Fanta Orange Оргилуун 2л жүржийн амттай пет савлагаа MNG', 'Тамхи Mevius compact lss sky Бохь мг Никотины хэмжээ 0,6мг/ш KAZ', 'Архи Экспорт 750мл шилэгдмэл сортын улаан буудайн спиртэй alc 34% MGL', 'Ундаа Coca Cola Түмний Оргилуун Sprite 2л Нимбэгний амт пет савлагаа MNG', 'Ундаа Coca Cola Fanta Оргилуун 2л Алим жимсний амт пет савлагаа MNG', 'Бялуу Жимст  8инч амлаг амин дэмээр баялаг MNG']"
1,Тараг Миний Монголын Элгэн тараг 180гр Уламжлалт аргаар Бор сахартай MNG,"['Сырок Поспел Лагуна 40гр Аарц Ванильны чанамалтай RUS', 'Жүүс Golden Plum 946 мл үзэмний шүүс зөгийн балтай MGL', 'Йогурт Сайн 500мл 2,5% тослогтой Хүрэн манжин Алим жимстэй MNG', 'Тараг Миний Монголын Элгэн тараг 750гр Уламжлалт аргаар Бор сахартай MNG', 'Ус Хужирт 1.5л Байгалийн эрдэстэй MNG', 'Шүүс Гоё 480мл Үзэмний пет савлагаатай MNG', 'Өрмөнцөр зөөлөн Акульчев 50гр иристэй ууттайRUS', 'Тараг Гэр 140гр Саванд нь бүрсэн Элгэн тараг Кальциар баялаг MNG', 'Иогурт  Danone 100гр гүзээлзгэнэтэй   кальциар  баялаг KAZ', 'Пиво Staropromen Premium 500мл alc 5% лаазтай CZ']"
2,Нарийн боов Баялаг 700гр Бамбууш 2068095-1,"['Тараг Гэр 140гр Саванд нь бүрсэн Элгэн тараг Кальциар баялаг MNG', 'Тодруулагч Centrum 98086 1-5мм Неон Мини Олон өнгө DEU', 'Зургийн дэвтэр Мэдлэгтэй дэвтэр Олон өнгө Зурагтай MGL', 'Гарын шингэн саван Санитас 250 мл хүүхдийн MNG', 'Хатаасан жимс самар Kowar 30гр student mix олон төрлийн MNG', 'Нүүрний хөвөн SEPTONA 60+60ш 100% хөвөн Уусдаггүй Дугуй GRC', 'Хичээлийн дэвтэр Мэдлэгтэй дэвтэр Цагаан Тоо Тууш шугамтай 60 хуудастай MGL', 'Цагаан будаа Сакура 1кг Грийн импекс уураг амин дэмээр баялаг', 'Хичээлийн дэвтэр  Цагаан Тоо 36ш хуудастай MGL', 'Нарийн боов Өнхрүүш нэрстэй 60гр зөөлөн амттай амин дэмтэй Өгөөж MNG']"
3,Сүү Миний монголын 1л 3.2% тослог Ариутгасан Кальци Уургаар баялаг MNG,"['Маркер Centrum 04667 2-5мм Гаралт сайн Харшил өгөхгүй Хар DEU', 'Тараг Миний Монголын Элгэн тараг 180гр Уламжлалт аргаар Чихэргүй MNG', 'Кофе Luscioux Allegro 250гр чанадаг нунтаг ууттай ITA', 'Өглөөний хоол Nestle 230гр бүхэл үрийн шоколадтай  RUS', 'Тараг Шимт 1л чихэргүй хайрцагтай кальци магнитай MGL', 'Архи Хараа цэвэр 500мл Alc 38% Мөнгөжүүлсэн шүүлтээр шүүсэн alc 38%', 'Муурны хоол Darling 75гр Тахианы махтай Витамин эрдэс агуулсан RU', 'Тараг Амтлаг Пробиотик 1000гр Дархлаа дэмжинэ Зохицуулах үйлчилгээтэй MNG', 'Тараг Мөөний 1л Цөцгийтэй Дархлаа дэмжинэ Кальциар баялаг MNG', 'Муурны хоол Darling 75гр Үхрийн махтай Витамин эрдэс агуулсан RU']"
4,Цөцгийн тос 200гр Транс тосгүй Уургаар баялаг Уламжлалт аргаар MNG,"['Эрдэнэшиш Novofruct 150гр Нөөшилсөн чихэрлэг SVK', 'Йогурт Пороро 100гр амтлаг Амин дэмээр баялаг MNG', 'Өргөст хэмх Urbanek 900гр даршилсан POL', 'Вандуй АСЕ 400гр нөөшилсөн', 'Эрдэнэ шиш Vita 184гр нөөшилсөн', 'Үзэм бор Султан Абджуш ЗА 500гр эрдэс бодисоор баялаг UZB', 'Цагаан самар Golden sunny 90гр ууттай', 'Вандуй ногоон Novofruct 200гр нөөшилсөн SVK', 'Вандуй Vita 184гр', 'Ширээний сальфетка Ариун 150ш Хайрцагтай MNG']"
5,Талх Ургац 300гр олон үртэй улаанбуудайн амтлаг Та Чи MNG,"['Хиам Задь хэрчсэн 250гр давхар утлагат Үхэр хонь гахайн мах өөх хуйхтай MNG', 'Хиам Салями Гранд 250гр Хэрчсэн Үхэр хонь гахайн мах өөхний агууламжтай MNG', 'Бэлэн хоол Fan’S SOLTEK 148гр халуун тогооны хоол', 'Хиам Салями 250гр утлагатай Хүнс комплекс MNG', 'Элэгний нухаш БИО 100гр амтат чинжүүтэй тугалган савтай MNG', 'Хиам Алтан нутаг 500гр Хүнс комплекс MNG', 'Бэлэн хоол Ноншим 130гр шин рамён black халуун ногоотой PRK', 'Царцаамаг Таван Тэргүүн уургаар баялаг MNG', 'Овъёос Ярмарка 350 гр Эслэг Уураг Витамин эрдэс бодисоор баялаг RUS', 'Нарийн боов бүхэл үрийн сүүт 450гр талх чихэр']"
6,Ариун цэврийн цаас 3 давхар 1ш Living KOR,"['Ариун цэврийн цаас 70 м Обухов Бор RUS', 'Молоко Главпродукт  380гр Сгущенка Юбилейная Лаазтай RUS', 'Талх Зууван чех 600гр зүссэн хөх тарианы уураг, агуулсан Талх чихэр MNG', 'Элэгний нухаш БИО 100гр халуун ногоотой тугалган савтай MNG', 'Масло Янта золотая 250гр шаргал өнгөтэй тослог 50%  RUS', 'Шоколадны крем Nusco Duo 350 гр Шилтэй NLD', 'Самар давсалсан 100гр Dawn ууттай', 'Молоко Главпродукт  270гр Сгущенка Юбилейная Шахдаг RUS', 'Саван Protex CREME Гарын 70гр Хатуу 4+1 Бактераас 99.9% хамгаална RUS', 'Царцаамаг 400гр уургаар баялаг MNG']"
7,Өндөг Баян цагаан 10ш кальци уургаар баялаг MNG,"['Гоймон Лапша луувантай өргөн 300гр витаминлаг, төмөр, цайр агуулдаг MNG', 'Цагаан будаа Сакура 1кг Грийн импекс уураг амин дэмээр баялаг', 'Өрмөнцөр зөөлөн Акульчев Венские 50гр гадил жимсний хавчуургатай RUS', 'Батончик Only fit 40гр нэмэлт сахаргүй уураг агуулсан ангаахай самартай RUS', 'Бяслаг President 150гр Чееддер 40% тослогтой сендвич-д хэрэглэнэ RUS', 'Тараг Миний Монголын Элгэн тараг 180гр Уламжлалт аргаар Чихэргүй MNG', 'Жигнэмэг Бодайка 180гр ууттай UKR', 'Бэлэн хоол Jjajangmen 190гр Хар шоштой Дэвтээдэг KOR', 'Бекон Дымов 150гр нимгэн хэрчсэн ууттай RUS', 'Нухаш tymbark mousse 120г алим манго 100% FRA']"
8,Тамхи Esse green нарийн төрлийн гаатай Никотины хэмжээ 0.1мг/ш KOR,"['Архи Хараа 100мл Алтжуулсан шүүлтээр шүүсэн alc 38% SBB', 'Тамхи Parliament Aqua blue энгийн Никотины хэмжээ 0,4мг/ш KAZ', 'Архи Хараа цэвэр 200мл Мөнгөжүүлсэн шүүлтээр бүрэн шүүсэн alc 38%', 'Асаагуур Baida led гэрэлтэй тусгал тод 5 төрөл ', 'Асаагуур Хуванцар 2 төрөлтэй цэнэглэдэг Асалт сайн', 'Ундаа Mountain Dew Оргилуун 2л пет савлагаатай USA', 'Тамхи Esse Silver Slim бохь 1.0, Никотин 0.10мг/ш', 'Тамхи Mevius green 10*5.9 нарий PHL', 'Өрмөнцөр Eti 34гр ууталж савласан шоколадтай маш амттай TUR', 'Пиво Saigon 333 330мл арвайн үр, амуу соёолжны орцтой шилтэй alc 5.3% VNM']"
9,"Өрмөнцөр Grzeski 36гр кокоа крем, сүүтэй шоколадтай POL","['Тараг Үлэмж органик 150гр жимстэй цэвэр сүүний орцтой', 'Өрмөнцөр Grzeski Mini 20гр кокоа крем, шоколадтай POL', 'Цай шингэн Pokka 300мл Дээд зэрэглэлийн хар цай Тоор жимсний лаазтай SGP', 'Чихэр зөөлөн Fini peach rings 90гр тоор жимсний амттай ESP', 'Нарийн боов Айс брэйд 100гр сүү сүүн кремтэй амтлаг зөөлөн чийглэг MNG', 'Жигнэмэг Bahlsen Pick up choco 28гр Хавчуургатай Сүүтэй Шоколадтай DEU', 'Цэвэр ус Aqua Minerale 500мл эрдэсжүүлсэн пет савлагаатай  RUS', 'Жүүс Woongjin Tasty Jeju Mandarines 180мл 50% Мандарины орцтой Шилтэй KOR', 'Бохь cw 14гр 14 ширхэг trident олон жимсний  USA', 'Жигнэмэг Пай Dream cake cream 192гр кремны хавчуургатай KOR']"
